Content,Parent,Type,Question Parent,Opposition
Ideas,Ideas,,,
Religious fundamentalism is a growing threat to our society.,"Religion, Politics, Society",Notion,,
Health insurance companies should be refused to use genetic information of clients.,"Medicine, Law",,,
High school trains students for compliance rather than critical thinking.,"Politics, Society, Education",,,
Students who download copyrighted music education should not be prosecuted.,"Teens, Law",,,
The government should stop paying farm subsidies.,Politics,,,
HIV tests should be available in drug stores like pregnancy tests.,Medicine,,,
Nuclear power is a viable energy source for the future.,Science,,,
Higher education should only be accessible to good students.,Education,,,
Doctors should be allowed to prescribe medical marijuana for severely ill patients.,"Medicine, Politics,",,,
It is crucial for women to develop a career before marriage and get kids.,Gender,,,
Agnosticism can be simply defined as skepticism regarding theology.,"Ideas, Religion",,,
There is still a glass ceiling for women.,"Gender, Society",,,
Governments ought to stop child labor.,"Ideas, Politics",,,
The minimum wage only should be at a level in which a person can survive.,Politics,,,
The government should pay for all healthcare services.,"Medicine, Politics,",,,
Parents are to blame for unruly children in public restaurants and bars.,Society,,,
Pharmacists should be permitted to refuse to sell the morning after pill to underage girls.,Medicine,,,
We need medical experiments on humans.,"Medicine, Ethics",,,
Small universities are more human than big universities. Big universities operate like factories.,"Education, Teens",,,
Home schooling is an effective education program for rural areas and long distance regions.,"Education, Teens",,,
Working in night-shifts costs you at least ten years of your life.,"Society, Medicine",,,
Sex offenders should be castrated.,"Law, Society, Sexuality",,,
Workplace dating is wrong.,"Society, Culture, Sexuality",,,
Live with your lover before getting married.,"Society, Culture, Sexuality",,,
Actions performed online in support of political or social causes make a difference,"Politics, Society",,,
Laws for concealed carry permits make states safer,Politics,,,
Capital punishment should be outlawed,"Politics, Ethics, Law",,,
Electronic voting is a secure way to conduct democracy,Politics,,,
We should have gun control that outlaws firearms with high-capacity magazines.,"Politics, Society",,,
Why do women make less money than men on average?,"Gender, Society",,,
Mandatory minimum penalties in sentencing are unfair,Politics,,,
Multiculturalism is bad for our society,"Politics, Society",,,
Abortion should be outlawed,"Politics, Religion, Society, Culture",,,
LGBTQ rights should be protected,"Politics, Society, Culture",,,
We need more gun control laws,"Politics, Law",,,
Euthanasia for patients with terminal illnesses should be legal,"Politics, Ethics, Law, Medicine",,,
Torture is an effective interrogation tactic,Politics,,,
